"nation","iso_a3"
"ARM","ARM"
"AUS","AUS"
"AUT","AUT"
"AZE","AZE"
"BEL","BEL"
"BLR","BLR"
"BRA","BRA"
"BUL","BGR"
"CAN","CAN"
"CHN","CHN"
"CRO","HRV"
"CZE","CZE"
"DEN","DNK"
"ESP","ESP"
"EST","EST"
"FIN","FIN"
"FRA","FRA"
"GBR","GBR"
"GEO","GEO"
"GER","DEU"
"HKG","HKG"
"HUN","HUN"
"ISR","ISR"
"ITA","ITA"
"JPN","JPN"
"KAZ","KAZ"
"KOR","KOR"
"LAT","LVA"
"LTU","LTU"
"MAS","MYS"
"NED","NLD"
"NOR","NOR"
"PHI","PHL"
"POL","POL"
"PRK","PRK"
"ROU","ROU"
"RSA","ZAF"
"RUS","RUS"
"SGP","SGP"
"SLO","SVN"
"SRB","SRB"
"SUI","CHE"
"SVK","SVK"
"SWE","SWE"
"TPE","TWN"
"TUR","TUR"
"UKR","UKR"
"USA","USA"
"UZB","UZB"
