competition;program;judge;judge_name;judge_nation
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J1;Ms. Anna Kantor ;ISR
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J2;Ms. Dagmar Lurz-Prott;GER
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J3;Ms. Deborah Noyes;AUS
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J4;Mr. Daniel Delfa ;ESP
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J5;Ms. Francoise De Rappard;BEL
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J6;Ms. Margaret Worsfold ;GBR
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J7;Ms. Saodat Numanova;UZB
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J8;Ms. Gloria Morandi;ITA
ISU World Figure Skating Championships 2017;MEN SHORT PROGRAM;J9;Ms. Weiguang Chen;CHN
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J1;Mr. Daniel Delfa ;ESP
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J2;Ms. Weiguang Chen;CHN
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J3;Ms. Olga Kozhemiakina;RUS
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J4;Ms. Anna Kantor;ISR
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J5;Mr. Jeff Lukasik;CAN
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J6;Ms. Na Young Ahn;KOR
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J7;Ms. Deborah Noyes;AUS
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J8;Mr. Igor Fedchenko;UKR
ISU World Figure Skating Championships 2017;MEN FREE SKATING;J9;Ms. Margaret Worsfold;GBR
ISU World Figure Skating Championships 2017;LADIES SHORT PROGRAM;J1;Ms. Elisabeth Louesdon;FRA
ISU World Figure Skating Championships 2017;LADIES SHORT PROGRAM;J2;Ms. Leanna Caron ;CAN
ISU World Figure Skating Championships 2017;LADIES SHORT PROGRAM;J3;Mr. Richard Grainge;GBR
ISU World Figure Skating Championships 2017;LADIES SHORT PROGRAM;J4;Ms. Mona Adolfsen;NOR
ISU World Figure Skating Championships 2017;LADIES SHORT PROGRAM;J5;Ms. Sakae Yamamoto;JPN
